date,final,seasonal,seasonaladj,trend,irregular,adjustfac,year,population,population_over18,pc_over18,rate,month
2009-01-31,885619.006992786,0.983857610422723,885619.006992786,879788.222032868,1.00662748694958,1.01058964739144,2009,301461533,227279008,75.39237452229104,3.8966159470072395,1
2009-02-28,880268.328592255,1.09645311801114,880268.328592255,884763.766866498,0.994919052471866,1.08674999307298,2009,301461533,227279008,75.39237452229104,3.873073612642022,2
2009-03-31,891892.261422702,1.16080964308391,891892.261422702,892642.762661623,0.999159236740257,1.13798520729509,2009,301461533,227279008,75.39237452229104,3.9242175037243303,3
2009-04-30,905217.019795579,0.969768440554716,905217.019795579,890537.485460296,1.0164839039063,0.968247040027959,2009,301461533,227279008,75.39237452229104,3.9828448203873674,4
2009-05-31,858919.910082988,0.812655827626684,858919.910082988,867264.941663607,0.990377759805889,0.819594460130728,2009,301461533,227279008,75.39237452229104,3.779143166987899,5
2009-06-30,846412.597075463,0.755875661879455,846412.597075463,845435.465156576,1.00115577351455,0.750654116202093,2009,301461533,227279008,75.39237452229104,3.7241125105379864,6
2009-07-31,830032.511232635,0.742210863864136,830032.511232635,831667.162888199,0.998034488160038,0.751646220548029,2009,301461533,227279008,75.39237452229104,3.652042124509075,7
2009-08-31,820337.390134135,0.88078472023139,820337.390134135,823695.548431519,0.995923058824612,0.873068823405564,2009,301461533,227279008,75.39237452229104,3.609384770520184,8
2009-09-30,824122.470462508,0.919814111888547,824122.470462508,819721.593136934,1.00536874636757,0.909948856969209,2009,301461533,227279008,75.39237452229104,3.626038663731355,9
2009-10-31,810155.385329042,1.03856070465936,810155.385329042,808820.145362811,1.00165084904708,1.06677905948744,2009,301461533,227279008,75.39237452229104,3.564585187423213,10
2009-11-30,791148.683889535,1.14987782185231,791148.683889535,792251.993605684,0.998607375273204,1.13159803995199,2009,301461533,227279008,75.39237452229104,3.480958012143097,11
2009-12-31,777371.879847665,1.4100194225913,777371.879847665,780166.508087505,0.996417907958276,1.40242080818982,2009,301461533,227279008,75.39237452229104,3.42034174950141,12
2010-01-31,775711.163888782,0.945349639137846,775711.163888782,779162.211997963,0.995570822023913,0.953421240313665,2010,303965272,229932155,75.64421865929474,3.373652388413365,1
2010-02-28,788736.391031602,1.10625941097497,788736.391031602,786571.810205254,1.00275191762311,1.09646950468316,2010,303965272,229932155,75.64421865929474,3.4303005207410076,2
2010-03-31,793627.757785659,1.15921668920242,793627.757785659,790280.445276874,1.00423560082853,1.143236096645,2010,303965272,229932155,75.64421865929474,3.4515736078133963,3
2010-04-30,785645.638541312,0.954764563003347,785645.638541312,793126.143472248,0.99056832889383,0.973645066521649,2010,303965272,229932155,75.64421865929474,3.4168585013318906,4
2010-05-31,808598.278104861,0.811047579298969,808598.278104861,805733.650196102,1.00355530380053,0.803942597458386,2010,303965272,229932155,75.64421865929474,3.5166820321623176,5
2010-06-30,820959.268089793,0.764393332695344,820959.268089793,819899.546787575,1.00129250138797,0.756195007633557,2010,303965272,229932155,75.64421865929474,3.570441324702032,6
2010-07-31,829404.512444532,0.75350051617691,829404.512444532,830003.607729009,0.999278201589852,0.773973604397204,2010,303965272,229932155,75.64421865929474,3.6071706127598033,7
2010-08-31,840607.437600029,0.902104672138774,840607.437600029,840114.182377089,1.0005871287895,0.884367026447512,2010,303965272,229932155,75.64421865929474,3.65589335515091,8
2010-09-30,850066.699726364,0.931392458526384,850066.699726364,846961.993469565,1.00366569725765,0.929931263340233,2010,303965272,229932155,75.64421865929474,3.6970327170045616,9
2010-10-31,847198.332292057,1.02626248373057,847198.332292057,848988.503873744,0.997891406569678,1.03502493640145,2010,303965272,229932155,75.64421865929474,3.684557874439341,10
2010-11-30,851674.529618667,1.1589079992923,851674.529618667,848132.511238851,1.00417625587143,1.15090232936622,2010,303965272,229932155,75.64421865929474,3.704025344426781,11
2010-12-31,842504.698671015,1.40772436309566,842504.698671015,851804.176121745,0.98908261110779,1.42562006110426,2010,303965272,229932155,75.64421865929474,3.6641447503113036,12
2011-01-31,871481.52894465,0.943571230707886,871481.52894465,862958.659105993,1.00987633619377,0.935305308176841,2011,306603772,232556019,75.84904043515812,3.747404744422676,1
2011-02-28,867154.889756177,1.14398381597128,867154.889756177,876662.815730464,0.989154409422093,1.13386006538747,2011,306603772,232556019,75.84904043515812,3.7288000262688406,2
2011-03-31,901800.001372214,1.1630468935651,901800.001372214,896024.498455622,1.00644569755241,1.1567792175789,2011,306603772,232556019,75.84904043515812,3.877775364619628,3
2011-04-30,914141.62804027,0.947188184984121,914141.62804027,912754.261461327,1.00151997819952,0.967703989037714,2011,306603772,232556019,75.84904043515812,3.930844843195695,4
2011-05-31,920899.390215683,0.805316334746797,920899.390215683,921156.120087804,0.999721296025155,0.789481791088734,2011,306603772,232556019,75.84904043515812,3.959903485515389,5
2011-06-30,928756.180352461,0.756118693628612,928756.180352461,925716.529978282,1.00328356497453,0.754932472948838,2011,306603772,232556019,75.84904043515812,3.9936879911607917,6
2011-07-31,924760.487211571,0.750424786398481,924760.487211571,933214.088690459,0.99094141249973,0.756832076714666,2011,306603772,232556019,75.84904043515812,3.9765063539876424,7
2011-08-31,955460.167177927,0.896091804673966,955460.167177927,951111.550973082,1.00457214109154,0.883738568080733,2011,306603772,232556019,75.84904043515812,4.108516181548184,8
2011-09-30,969524.009894494,0.91192232156401,969524.009894494,970299.137285111,0.999201145955066,0.929955618219416,2011,306603772,232556019,75.84904043515812,4.1689912566593,9
2011-10-31,986795.650929847,0.998345990106352,986795.650929847,981996.539831911,1.00488709573127,0.989600226835033,2011,306603772,232556019,75.84904043515812,4.243259990315912,10
2011-11-30,984978.898510602,1.17757825326397,984978.898510602,991092.370209989,0.993831582319524,1.16494840827055,2011,306603772,232556019,75.84904043515812,4.235447883680027,11
2011-12-31,1008079.80869942,1.44907291528512,1008079.80869942,1005758.49916046,1.00230801881455,1.48844514794502,2011,306603772,232556019,75.84904043515812,4.334782703256629,12
