Year_csis,Month_csis,Day_csis,State_csis,City_csis,Orientation_csis,vict_killed_csis,LE_status_csis,MIL_status_csis,Target_csis,Weapon_csis,Lat_csis,Long_csis,type_extremism_1,type_extremism_2,victim_category,victim_specific1,victim_specific2,susp_total,susp_hometown,susp_social_media_use
2020,9,1,Wisconsin,Pleasant Prairie,Violent Far-right,0,,,Private Individuals,Firearms,42.5531,-87.9334,anti government,anti blm,individual,social justice,BLM,2,"Hartville, MO",facebook
2020,10,8,Michigan,Ypsilanti,Violent Far-right,0,,Reserve,"Government, Military, and Police",Firearms,42.243,-83.618,anti government,,individual,government,,6,,facebook
2020,5,27,Minnesota,Minneapolis,Violent Far-right,0,,,Demonstrators,Other,44.983,-93.267,white supremacist,,demonstration,social justice,BLM,1,"Minneapolis, MN",facebook
2020,10,21,Maryland,Frederick,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,39.414,-77.41,stop the steal,,group,government,left,1,"Frederick, MD",facebook
2020,10,30,Texas,Austin,Violent Far-right,0,,,"Government, Military, and Police",Other,30.275,-97.74,stop the steal,,group,government,,,,facebook
2020,1,14,Delaware,Newark,Violent Far-right,0,,Veteran,Demonstrators,Firearms,39.6837,-75.7497,,,group,black,jewish,3,"Newark, DE - Denton, MD",encrypted chats
2020,1,15,Georgia,Silver Creek,Violent Far-right,0,,,Demonstrators,Firearms,34.1753,-85.1609,white supremacist,,demonstration,social justice,,3,"Dalton, GA - Dacula, GA - Silver Creek, GA",encrypted chats
2020,3,24,Missouri,Belton,Violent Far-right,0,,Veteran,Other,Explosives and Incendiaries,38.815797,-94.535556,white supremacist,anti covid lockdown,building,jewish,black,1,"Belton, MO",encrypted chats
2020,6,10,Kentucky,Louisville,Violent Far-right,0,,Active,"Government, Military, and Police",Other,38.2527,-85.7585,white supremacist,,group,government,,1,"Louisville, KY",telegram
2020,12,31,Pennsylvania,Philadelphia,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,39.952,-75.164,,,,,,,,
2020,12,27,Pennsylvania,Pittsburgh,Religious,0,,,"Government, Military, and Police",Threats and Hoaxes,40.4406,-79.9959,,,,,,,,
2020,12,26,Colorado,Aspen,Violent Far-left,0,,,Transportation and Infrastructure,Other,39.191,-106.818,,,,,,,,
2020,11,28,Washington,Bellingham,Violent Far-left,0,,,Transportation and Infrastructure,Other,48.7519,-122.4787,,,,,,,,
2020,11,5,Oregon,Portland,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,45.523,-122.676,,,,,,,,
2020,11,5,Oregon,Portland,Violent Far-left,0,,,"Government, Military, and Police",Other,45.523,-122.676,,,,,,,,
2020,11,4,California,Beverly Hills,Ethnonationalist,0,,,Business,Other,34.074,-118.398,,,,,,,,
2020,10,31,New Mexico,Albuquerque,Violent Far-left,0,,,Demonstrators,Firearms,35.084,-106.651,,,,,,,,
2020,9,23,Oregon,Portland,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,45.523,-122.676,,,,,,,,
2020,9,23,Missouri,St. Louis,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,38.627,-90.191,,,,,,,,
2020,9,23,Kentucky,Louisville,Violent Far-left,0,,,"Government, Military, and Police",Firearms,38.254,-85.759,,,,,,,,
2020,9,23,North Carolina,Durham,Violent Far-left,0,,,Business,Melee,35.994,-78.899,,,,,,,,
2020,9,19,District of Columbia,Washington,Violent Far-left,0,,,"Government, Military, and Police",Other,38.9072,-77.0369,,,,,,,,
2020,9,4,Texas,Richmond,Religious,0,,,Educational Institution,Threats and Hoaxes,29.5822,-95.7608,,,,,,,,
2020,9,3,Arkansas,Little Rock,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,34.746,-92.288,,,,,,,,
2020,9,3,Minnesota,Minneapolis,Other,0,,,"Government, Military, and Police",Firearms,44.9778,-93.265,,,,,,,,
2020,9,1,Washington,Seattle,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,47.606,-122.333,,,,,,,,
2020,8,29,Oregon,Portland,Violent Far-left,1,,,Demonstrators,Firearms,45.523,-122.676,,,,,,,,
2020,8,24,South Carolina,Fort Mill,Violent Far-left,0,,,Demonstrators,Firearms,35.007,-80.945,,,,,,,,
2020,8,21,Delaware,Wilmington,Violent Far-left,0,,,Demonstrators,Firearms,39.744,-75.552,,,,,,,,
2020,8,8,California,Grass Valley,Violent Far-left,0,,,Demonstrators,Firearms,39.219,-121.061,,,,,,,,
2020,7,25,Colorado,Eaton,Violent Far-left,0,,,Demonstrators,Vehicle,40.525,-104.713,,,,,,,,
2020,7,19,Washington,Seattle,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,47.606,-122.333,,,,,,,,
2020,7,4,Oregon,Portland,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,45.523,-122.676,,,,,,,,
2020,6,23,Wisconsin,Madison,Violent Far-left,0,,,"Government, Military, and Police",Melee,43.075,-89.384,,,,,,,,
2020,6,6,California,Santa Cruz,Other,1,,Active,"Government, Military, and Police",Firearms,36.974,-122.03,,,,,,,,
2020,6,3,New York,New York-Brooklyn,Religious,0,,,"Government, Military, and Police",Firearms,40.69,-73.986,,,,,,,,
2020,5,30,New York,New York-Brooklyn,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,40.69,-73.986,,,,,,,,
2020,5,30,Washington,Tacoma,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,47.253,-122.444,,,,,,,,
2020,5,30,Nevada,Las Vegas,Other,0,,"Reserve, Veteran",Transportation and Infrastructure,Explosives and Incendiaries,36.2274,-115.263,,,,,,,,
2020,5,29,California,Oakland,Other,1,,Active,"Government, Military, and Police",Firearms,37.804,-122.271,,,,,,,,
2020,5,28,Minnesota,Apple Valley,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,44.732,-93.218,,,,,,,,
2020,5,28,Minnesota,Minneapolis,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,44.983,-93.267,,,,,,,,
2020,5,24,Florida,Tampa,Religious,0,,,Private Individuals,Firearms,27.9506,-82.4572,,,,,,,,
2020,5,21,Texas,Naval Air Station Corpus Christi,Religious,0,,,"Government, Military, and Police",Firearms,27.6928,-97.2799,,,,,,,,
2020,4,11,Texas,Texarkana,Other,0,,,"Government, Military, and Police",Firearms,33.443943,-94.072579,,,,,,,,
2020,3,2,North Carolina,Wilson,Religious,0,,,Business,Explosives and Incendiaries,35.733222,-77.929539,,,,,,,,
2020,1,3,Delaware,Newark,Violent Far-right,0,,,Abortion Related,Explosives and Incendiaries,39.6837,-75.7497,anti abortion,,building,abortion,,1,"Middletown, DE",
2020,3,14,Texas,Midland,Violent Far-right,0,,,Private Individuals,Melee,31.93333333,-102.2,anti asian,,individual,asian,,1,"Midland, TX",
2020,3,31,California,San Pedro,Violent Far-right,0,,,Transportation and Infrastructure,Vehicle,33.7329,-118.292846,anti covid lockdown,,government building,,,1,"San Pedro, CA",
2020,4,2,Massachusetts,East Longmeadow,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,42.061882,-72.511494,anti semitic,white supremacist,building,jewish,,1,"Longmeadow, MA",
2020,5,1,Colorado,Denver,Violent Far-right,0,,Veteran,Unknown,Explosives and Incendiaries,39.736278,-104.969116,anti covid lockdown,,government building,,,1,"Loveland, CO",
2020,5,27,New York,Geneseo,Violent Far-right,0,,,"Government, Military, and Police",Explosives and Incendiaries,42.7959,-77.8169,anti police,anti government,group,police,,1,"Geneseo, NY",
