GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
25013,25,4763,5,830,,,1,0,15,4680,4,830,2,35
25015,24,6845,3,40,1,0,1,40,14,6530,2,0,2,15
25017,66,10520,5,600,,,,,45,9750,1,0,,
25019,1,100,,,,,,,1,100,,,,
25021,20,5732,1,20,,,1,20,10,5270,,,1,0
25023,19,2465,6,1520,,,1,70,16,2425,2,250,,
25025,101,15895,18,1226,1,0,4,590,59,11945,2,135,6,500
25027,36,2965,1,20,1,5,,,23,2725,,,,
26001,1,100,,,,,,,1,100,,,,
26005,1,0,,,,,,,,,,,,
26007,4,550,,,,,,,2,450,,,,
26017,3,0,,,,,,,3,0,,,,
26021,5,1450,2,200,,,,,4,1450,,,,
26023,1,200,1,0,,,,,1,200,1,0,,
26025,7,805,2,80,,,1,20,3,750,,,,
26031,1,100,,,,,,,1,100,,,,
26033,1,0,1,20,,,1,20,,,,,,
26041,1,100,,,,,,,1,100,,,,
26043,2,100,1,10,,,,,2,100,,,,
26047,9,450,2,55,,,,,8,450,,,,
26049,13,995,1,100,,,,,9,900,,,,
26051,1,75,,,,,,,1,75,,,,
26053,2,0,,,,,,,1,0,,,,
26055,3,1000,1,0,,,,,1,1000,,,,
26059,2,100,1,0,,,,,1,100,1,0,1,0
26061,5,1010,3,1180,,,2,1000,5,1010,1,180,,
26063,1,200,1,3,,,,,1,200,,,,
26065,40,3390,32,6065,5,15,21,4345,20,2885,8,1500,2,20
26067,1,120,,,,,,,1,120,,,,
26073,6,976,1,150,,,,,5,970,1,150,,
26075,2,400,,,,,,,2,400,,,,
26077,27,2280,1,20,,,,,19,1020,,,,
26081,24,4072,7,670,1,2,3,550,18,4000,1,100,,
26085,1,0,,,,,,,1,0,,,,
26091,5,482,4,180,,,,,2,400,3,180,,
26093,4,150,1,0,,,,,3,150,,,,
26099,28,6230,6,0,,,1,0,23,6170,2,0,2,0
26103,8,255,3,20,,,1,0,7,255,,,,
26105,3,80,4,1300,,,,,2,80,1,1200,,
26111,2,175,,,,,,,2,175,,,,
26115,1,0,2,0,,,,,,,1,0,,
26117,1,0,,,,,,,,,,,,
26121,10,340,,,,,,,6,220,,,1,100
26125,33,3790,5,75,,,2,50,26,3640,1,0,1,0
26139,15,4190,8,550,,,2,150,12,4170,,,2,20
26145,8,1220,,,,,,,7,1190,,,1,30
26147,6,220,1,0,,,,,5,220,,,,
26149,1,0,2,120,,,1,100,1,0,,,,
26155,2,150,1,20,,,1,20,2,150,,,,
26157,1,0,,,,,,,1,0,,,,
26161,45,5580,3,175,,,2,175,29,4860,,,1,10
26163,162,12213,19,1007,,,5,210,133,10798,6,295,2,10
26165,3,303,,,,,,,2,303,,,,
27001,3,400,,,,,,,,,,,,
27003,5,125,1,0,,,,,4,125,1,0,,
27007,8,800,2,200,,,1,50,4,300,,,1,400
27013,4,540,1,100,,,,,2,0,1,100,1,500
27017,1,0,,,,,,,,,,,,
27021,2,10,,,,,,,,,,,,
27031,2,100,1,30,,,1,30,2,100,,,,
27035,3,120,2,10,1,10,1,0,2,110,,,,
27037,5,250,,,,,,,5,250,,,,
27039,1,0,1,1,,,,,1,0,,,,
27041,1,0,1,0,,,,,1,0,,,,
27049,3,0,,,,,,,3,0,,,,
27053,77,23960,2,0,,,,,50,20630,1,0,3,40
27061,1,0,,,,,,,,,,,,
27067,2,35,2,0,,,,,2,35,1,0,,
27099,1,200,,,,,,,1,200,,,,
27103,2,300,,,,,,,1,300,,,,
27109,9,400,3,70,,,2,70,8,400,1,0,1,0
27119,1,0,1,0,,,1,0,,,,,,
27123,42,5230,16,2520,2,14,7,1770,19,5050,5,720,4,26
27131,2,0,,,,,,,1,0,,,,
27137,19,1895,4,140,,,2,20,11,1605,1,100,5,170
27139,1,0,,,,,,,,,,,,
27145,9,720,1,0,,,,,6,440,1,0,,
27147,2,100,,,,,,,2,100,,,,
27151,1,16,,,,,,,1,16,,,,
27161,1,100,,,,,,,1,100,,,,
27163,2,400,1,0,,,,,2,400,,,,
27165,1,150,,,,,,,1,150,,,,
27171,1,0,,,,,,,,,,,,
28003,2,600,1,150,,,,,2,600,,,,
28011,1,20,,,,,,,1,20,,,,
28027,1,0,,,,,,,1,0,,,,
28033,1,70,,,,,,,1,70,,,,
28035,10,1580,1,0,,,,,10,1580,,,,
28047,8,175,5,800,,,1,100,5,160,2,700,,
28049,15,1665,6,120,,,2,0,7,1370,1,0,1,0
28057,1,0,,,,,,,1,0,,,,
28059,1,20,1,20,,,,,1,20,,,,
28067,2,10,1,0,,,,,2,10,,,,
28071,9,370,,,,,,,7,340,,,,
28073,1,0,,,,,,,1,0,,,,
28075,1,200,,,,,,,1,200,,,,
28081,4,100,1,100,,,,,4,100,,,,
28083,3,160,1,25,,,1,25,3,160,,,,
28087,2,200,1,1,,,,,2,200,,,,
28093,2,0,,,,,,,2,0,,,,
28095,1,0,,,,,,,1,0,,,,
28105,3,2350,,,,,,,2,2350,,,,
28109,6,20,,,,,,,5,0,,,,
28115,1,200,,,,,,,1,200,,,,
28117,2,20,,,,,,,2,20,,,,
28121,3,0,2,0,,,,,2,0,,,,
28139,2,0,,,,,,,2,0,,,,
28145,1,100,,,,,,,1,100,,,,
28149,1,0,,,,,,,1,0,,,,
29001,1,250,,,,,,,1,250,,,,
29007,2,100,,,,,,,2,100,,,,
29019,109,3868,4,175,,,2,75,105,3780,,,,
29021,4,0,,,,,,,4,0,,,,
29029,1,300,1,0,,,,,1,300,,,,
29031,5,170,1,100,,,,,3,170,1,100,,
29051,6,120,5,1400,,,1,700,,,2,200,,
29071,4,0,,,,,,,4,0,,,,
29077,16,4322,5,105,,,3,100,11,4270,1,5,,
29085,1,0,,,,,,,1,0,,,,
29095,55,5765,13,315,1,0,8,175,36,5585,2,100,1,0
